# Load-mapping outcome per corpus ROM, measured 2026-08-05 over all 287.
#
# Produced by examples/probe_load_mapping via the same
# admitted_overlay_load_mappings_v1 path that raises NoUniqueAdmittedTable.
#
# The error name conflates TWO causes, which is why this file splits them:
#   ZERO_ADMITTED  admitted:0 -- no descriptor table was found at all
#   AMBIGUOUS_<n>  admitted:n -- several tables, discovery refuses to pick
#
# Totals: 26 MAPPINGS_OK, 246 ZERO_ADMITTED, 15 ambiguous.
# Ambiguity is NOT the bottleneck -- zero-admitted outnumbers it 16:1.
outcome	rom
ZERO_ADMITTED	Donkey Kong 64 (Europe) (En,Fr,De,Es)
ZERO_ADMITTED	Doom 64 (USA) (Rev A)
ZERO_ADMITTED	Dr. Mario 64 (USA)
ZERO_ADMITTED	Dragon Sword 64 (USA) (Proto)
ZERO_ADMITTED	Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)
ZERO_ADMITTED	Duke Nukem - Zero Hour (France)
ZERO_ADMITTED	Duke Nukem 64 (France)
ZERO_ADMITTED	ECW Hardcore Revolution (USA)
ZERO_ADMITTED	Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)
ZERO_ADMITTED	Excitebike 64 (USA) (Rev A)
ZERO_ADMITTED	Extreme-G (USA)
ZERO_ADMITTED	F-1 World Grand Prix (France)
ZERO_ADMITTED	F-1 World Grand Prix II (Europe) (En,Fr,De,Es)
ZERO_ADMITTED	F-Zero X (USA)
ZERO_ADMITTED	F1 Pole Position 64 (USA) (En,Fr,De)
ZERO_ADMITTED	F1 Racing Championship (Europe) (En,Fr,De,Es,It)
ZERO_ADMITTED	FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)
ZERO_ADMITTED	FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)
ZERO_ADMITTED	FIFA Soccer 64 (USA) (En,Fr,De)
ZERO_ADMITTED	Fighters Destiny (USA)
ZERO_ADMITTED	Fighting Force 64 (USA)
ZERO_ADMITTED	Forsaken 64 (USA)
ZERO_ADMITTED	Fox Sports College Hoops '99 (USA)
ZERO_ADMITTED	GT64 - Championship Edition (USA)
ZERO_ADMITTED	Gauntlet Legends (Europe)
ZERO_ADMITTED	Glover (USA)
ZERO_ADMITTED	Goemon's Great Adventure (USA)
ZERO_ADMITTED	Harvest Moon 64 (USA)
ZERO_ADMITTED	Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)
ZERO_ADMITTED	Hexen (France)
ZERO_ADMITTED	Hot Wheels - Turbo Racing (USA)
ZERO_ADMITTED	Hybrid Heaven (USA)
ZERO_ADMITTED	Hydro Thunder (USA)
ZERO_ADMITTED	Iggy's Reckin' Balls (USA)
ZERO_ADMITTED	In-Fisherman - Bass Hunter 64 (USA)
ZERO_ADMITTED	Indiana Jones and the Infernal Machine (USA)
ZERO_ADMITTED	Indy Racing 2000 (USA)
ZERO_ADMITTED	International Superstar Soccer '98 (USA)
ZERO_ADMITTED	International Superstar Soccer 2000 (Europe) (Fr,It)
ZERO_ADMITTED	International Superstar Soccer 64 (USA)
ZERO_ADMITTED	International Track & Field 2000 (USA)
ZERO_ADMITTED	Jeremy McGrath Supercross 2000 (USA)
ZERO_ADMITTED	Jet Force Gemini (Europe) (En,Fr,De,Es)
ZERO_ADMITTED	Ken Griffey Jr.'s Slugfest (USA)
ZERO_ADMITTED	Killer Instinct Gold (USA) (Rev B)
ZERO_ADMITTED	Knockout Kings 2000 (USA)
ZERO_ADMITTED	Kobe Bryant's NBA Courtside (USA)
ZERO_ADMITTED	LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
ZERO_ADMITTED	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Rev A)
